date, awayTeam, homeTeam, homeWin, spread, ou, hWRCL, hWRCR, hFRM, hOAA, hBsR, hHand, hSpxFIP, hRpxFIP, hSpIperG, aWRCL, aWRCR, aFRM, aOAA, aBsR, aHand, aSpxFIP, aRpxFIP, aSpIperG
2021-05-02,NYM,PHI,0,-1,15,89,78,6.2,-20.0,7.8,1,3.59,4.27,6.413,112,89,2.2,24.0,-13.5,-1,3.09,4.15,4.758
2021-05-02,SFG,SDP,0,-6,8,88,94,-2.7,14.0,0.7,1,2.2,4.18,5.8,105,81,5.5,27.0,-6.4,1,3.93,4.2,6.613
2021-05-02,MIA,WSN,1,2,4,133,72,-6.8,-27.0,-25.4,1,3.69,4.75,6.0,103,78,1.7,-11.0,0.4,-1,3.15,4.29,5.6
2021-05-02,CLE,CHW,0,-5,5,128,103,-13.4,-10.0,-0.9,1,3.28,3.83,5.007,81,75,2.2,20.0,7.4,1,3.95,3.96,5.207
2021-05-02,KCR,MIN,1,9,17,95,96,5.9,5.0,-3.1,1,3.08,4.27,5.213,74,95,-17.3,23.0,13.2,1,5.29,4.5,3.6
2021-05-02,DET,NYY,1,2,2,115,88,3.0,-22.0,-15.1,1,5.67,3.78,4.213,31,75,-13.0,-16.0,1.2,1,4.26,4.69,5.613
2021-05-02,BAL,OAK,1,2,12,100,88,9.0,20.0,11.8,-1,3.92,4.69,5.613,91,68,-21.3,-33.0,-6.2,-1,4.65,4.76,5.007
2021-05-02,LAA,SEA,1,2,2,95,83,-4.8,-7.0,-7.1,-1,4.24,4.18,5.5,96,109,3.9,-24.0,6.8,1,3.73,4.38,6.0
2021-05-02,HOU,TBR,1,1,9,95,88,5.1,32.0,11.2,-1,3.89,3.98,4.407,103,97,0.8,42.0,-6.2,1,3.35,4.19,5.017
2021-05-02,BOS,TEX,1,2,8,75,100,16.7,28.0,-1.8,1,4.36,4.43,5.407,98,104,0.4,-39.0,-4.4,1,4.87,4.23,4.613
2021-05-02,ATL,TOR,1,5,9,102,87,5.0,-13.0,2.8,1,4.39,4.22,4.017,54,110,-0.4,5.0,5.4,1,3.13,4.36,5.8
2021-05-03,NYM,STL,1,1,11,106,86,-7.9,49.0,11.7,1,3.25,4.65,5.613,113,93,2.2,24.0,-13.5,-1,3.18,4.15,3.0
2021-05-03,TBR,LAA,0,-4,10,89,109,3.9,-24.0,6.8,-1,4.7,4.38,3.258,94,89,5.1,32.0,11.2,1,2.62,3.98,6.178
